Names,frequency
sabil,1
rafan,1
saal,1
radi,1
radhiyaa,1
rabbiya,1
rabiya,1
radhia,1
radhiyyah,1
saaiq,1
qadar,1
qabool,1
sabir,1
qadi,1
sabiqah,1
qabilah,1
qadim,1
radhee,1
rabah,1
radeyah,1
rabitah,1
rabee,1
sabirah,1
rabit,1
rabiah,1
qabeel,1
rabia,1
saahirah,1
qadriyyah,1
rabi',1
radhwa,1
qahtan,1
qailah,1
rabee'ah,1
rabee',1
saajid,1
sabeeyah,1
sabihah,1
sabahat,1
qareeb,1
qurrat-ul-ain,1
qareebah,1
qasid,1
qasif,1
sabburah,1
saaqib,1
qurban,1
qasoomah,1
rafee',1
quraybah,1
saar-rah,1
saariyah,1
"qudsiyyah, qud-doosiyyah",1
qudsiyah,1
raawiya,1
qudoos,1
quddusiyyah,1
qay-yoom,1
sabah,1
quddoos,1
quadir,1
qaylah,1
qiyyama,1
qaymayriyah,1
qisaf,1
saba,1
qirat,1
qindeel,1
qays,1
qurratul ayn,1
qarasafahl,1
qusay,1
qaraah,1
raatib,1
sabiha,1
raashidah,1
qamayr,1
saaleha,1
qameer,1
raamis,1
raameen,1
raakin,1
qani,1
raaida,1
qaysar,1
sabeen,1
qaniah,1
raahil,1
raaghib,1
saalihah,1
qanit,1
raadhiyah,1
sabeehah,1
saalim,1
ra'id,1
ra'ed,1
qutub,1
saalima,1
saamiya,1
qutb,1
qutayyah,1
qutaylah,1
rafee,1
reham,1
rafeek,1
riyadh,1
rashdan,1
roha,1
robeel,1
rizwana,1
rizwan,1
rizqin,1
rasheeda,1
riyasat,1
riyad,1
rohail,1
risay,1
rashida,1
rinaaz,1
rashne,1
rimsha,1
rija,1
riffat,1
rifaya,1
rohaan,1
roma,1
raudzah,1
rania,1
ramsha,1
ramzia,1
ruaa,1
roxanne,1
rowel,1
roushana,1
rand,1
rani,1
roshini,1
romana,1
raniya,1
ranya,1
roshan,1
raonar,1
raseem,1
rona,1
rashaad,1
romeesa,1
qabalah,1
rifat,1
ramisa,1
rehmat-ullah,1
rayna,1
rayya,1
rayyan,1
raza,1
razaana,1
razaanah,1
razam,1
reja,1
rehma,1
reshma,1
razan,1
rehemat,1
razeen,1
razzaaq,1
rehana,1
reeha,1
reeham,1
rehan,1
rayn,1
rayhan,1
rifaat,1
rida,1
rifa'ah,1
rauf,1
rawahah,1
ridwan,1
ridhwan,1
ridhwaanah,1
ridhwaan,1
ridhaa,1
rawdah,1
rayann,1
rawdha,1
riaz,1
reza,1
rawh,1
raya,1
rayaadh,1
reyhana,1
rayan,1
ramiz,1
ramin,1
rafeeq,1
rushda,1
rahat,1
sa'diyah,1
sa'dan,1
sa'd,1
raheel,1
ruwayfi,1
ruwayda,1
raheem,1
rushd,1
raghibah,1
ruquaiya,1
raheesh,1
rahil,1
rahila,1
rahilah,1
ruqayyah,1
ruqayya,1
reena,1
sa'id,1
sa'im,1
rumeha,1
saadat,1
saafir,1
saadiya,1
rafi,1
rafia,1
saadiqah,1
saadiq,1
rafida,1
saadia,1
rafiq,1
raghib,1
rafiqah,1
saabirah,1
raghad,1
saabira,1
sa'ood,1
sa'irah,1
raghd,1
ragheb,1
ruqaiyah,1
rahim,1
ramidha,1
ruhab,1
rajaa,1
rajiyah,1
rukan,1
ruhina,1
ruhi,1
rakeem,1
ramadan,1
ruhee,1
rameen,1
raja,1
rudainah,1
rubiya,1
rubina,1
rameesha,1
rubi,1
rameez,1
rubaba,1
ramia,1
rukanah,1
raitah,1
rahimah,1
ruksha,1
rahmaa,1
rahmaan,1
rumana,1
rahmah,1
raidah,1
