Names,frequency
gouranga,2
farhana,2
santana,2
nandu,2
monami,2
shan,2
shafi,2
mridul,2
dipu,2
sannidhi,2
nandi,2
shahana,2
sankha,2
adarsh,2
golap,2
monojit,2
munna,2
sangam,2
abhinandan,2
abhinav,2
sanmay,2
nail,2
abhineet,2
aastha,2
abhira,2
sandhi,2
monir,2
doyel,2
vishal,2
yashodhara,2
neelam,2
adhirath,2
visha,2
mrigaya,2
zain,2
zahra,2
emon,2
munmun,2
abhiram,2
mohit,2
nanda,2
ganesh,2
sanny,2
gopi,2
sarthak,2
dolon,2
naman,2
dipal,2
abha,2
aadhira,2
mishu,2
fahim,2
naksha,2
mit,2
adri,2
durva,2
sanu,2
senthamarai,2
girisha,2
aarna,2
mouli,2
abani,2
nakshatra,2
falguny,2
yaksha,2
moti,2
sargam,2
aditi,2
abeer,2
mouni,2
aaradhya,2
evan,2
abrar,2
sharad,2
sanam,2
rasesh,1
saraswathi,1
saraswati,1
recika,1
rashedul,1
redhoy,1
reedhun,1
reedhant,1
rasel,1
saraswaty,1
saraseej,1
raseeka,1
reejit,1
rayyan,1
sarashi,1
rashaad,1
reboti,1
razak,1
raza,1
razib,1
sarasi,1
razu,1
rashakali,1
razzaque,1
reem,1
reasma,1
rashana,1
sarasvat,1
reba,1
rebanta,1
raz,1
rashed,1
rebatee,1
rebati,1
ratnabala,1
reema,1
sarannya,1
saras,1
saranya,1
sarif,1
regan,1
ranjita,1
reha,1
rehaan,1
rehan,1
rehansh,1
rehena,1
sari,1
reja,1
sarifuddin,1
reji,1
rejith,1
sarani,1
ranjini,1
ranjika,1
saranan,1
rekha,1
ranjna,1
reeyansh,1
reemashri,1
ranojit,1
reena,1
raseef,1
ranzu,1
reesha,1
ranveer,1
ranu,1
sarasa,1
rantu,1
reeshan,1
ranobeer,1
reetisha,1
reeshika,1
rannie,1
reet,1
reetam,1
rankit,1
ranjumoni,1
ranjukta,1
reethu,1
sarhan,1
sargini,1
rayesha,1
raynaak,1
rasmita,1
ratam,1
ratno,1
sarbesh,1
sarbasree,1
rasuraj,1
rasu,1
raton,1
rasool,1
ratree,1
ratri,1
rasmaru,1
rasmikanta,1
ratry,1
sarbari,1
ratti,1
sarbani,1
ratul,1
sarengi,1
sarbananda,1
ratusree,1
ratnisha,1
ratneshwar,1
sarbeswar,1
sarbjeet,1
ratinderpal,1
ratikanta,1
ratnabali,1
ratnadeb,1
ratnadeepta,1
rati,1
rathin,1
ratnagarbha,1
ratnah,1
ratnajyouti,1
ratnakar,1
ratnamani,1
ratnaprabha,1
ratnasagar,1
ratnesh,1
rathika,1
sarbojit,1
sardha,1
sarendar,1
rasmika,1
sarban,1
rashi,1
rayaan,1
rashmirekha,1
ravishankar,1
ravishu,1
ravitez,1
rawah,1
sarathi,1
raya,1
rashma,1
saratchandra,1
sarat,1
rekhaa,1
rayan,1
rayanta,1
rashidul,1
sarboni,1
rayhan,1
rayirth,1
rayn,1
rayna,1
rashid,1
raviraj,1
saravana,1
ravindranath,1
ravindra,1
rauf,1
saresh,1
sarfaraj,1
rasika,1
raunak,1
raunaq,1
sarayu,1
saravanan,1
ravali,1
raveena,1
rasida,1
saravanamuthu,1
rasib,1
rashna,1
ravikanth,1
ravinda,1
sarfaraz,1
rashmy,1
ravinder,1
saranagata,1
reyaansh,1
reksona,1
rimpi,1
rimpy,1
rimu,1
rineet,1
rini,1
rinika,1
rinisha,1
rinita,1
saptak,1
rinkhi,1
rinki,1
rinkoo,1
saptajit,1
saptadipa,1
rinkumoni,1
saptadeepa,1
rinti,1
rinto,1
rintu,1
rinu,1
saptadeep,1
rinve,1
ripam,1
ripan,1
saptami,1
rimpee,1
ripu,1
rimpa,1
rijumoni,1
rijurekh,1
rijusmita,1
rijvan,1
rijwan,1
rijwana,1
rik,1
riki,1
rikin,1
saptamita,1
rikita,1
rikta,1
rikth,1
riktisa,1
riku,1
rima,1
rimi,1
rimika,1
rimita,1
rimjhim,1
rimjim,1
rimli,1
rimon,1
ripon,1
ripunjoy,1
rijona,1
risika,1
risita,1
risob,1
risu,1
sapna,1
ritaa,1
ritabrata,1
saphal,1
ritajaa,1
ritajit,1
ritam,1
ritama,1
sapana,1
ritamoni,1
ritan,1
ritanshu,1
sapan,1
ritanya,1
ritav,1
ritayan,1
ritee,1
ritendra,1
saounak,1
ritesh,1
sapnamay,1
rishwika,1
risa,1
sapnem,1
risabh,1
risad,1
risana,1
risap,1
risav,1
saprathas,1
rishaan,1
rishabh,1
rishad,1
rishan,1
rishani,1
rishi,1
rishija,1
rishikesh,1
rishiki,1
rishim,1
rishin,1
sapnomoy,1
rishiraj,1
rishit,1
sapneswar,1
rishiv,1
rishmita,1
rijumani,1
rijita,1
remco,1
rexona,1
reyansh,1
reyanshi,1
reyashree,1
rezowana,1
rheedhum,1
saraf,1
rhia,1
rhiddhi,1
rhishi,1
saradindu,1
rhishika,1
rhishita,1
rhitaza,1
sarada,1
rhoma,1
sarabinda,1
rhun,1
rhyah,1
ria,1
riaana,1
riad,1
sarab,1
rian,1
reyana,1
sarafat,1
riana,1
rewan,1
remmi,1
remya,1
sarama,1
renita,1
renoo,1
renu,1
renuka,1
renutara,1
resham,1
sarala,1
reshika,1
reshma,1
reshmi,1
reshmita,1
reshmitha,1
resika,1
resma,1
saraj,1
resmina,1
resmita,1
sarah,1
retwika,1
revaya,1
sara,1
riansha,1
rijia,1
saptashri,1
ridhoy,1
saptarshi,1
ridhvee,1
ridika,1
ridima,1
ridip,1
ridit,1
ridita,1
ridoy,1
saptarishi,1
rifa,1
saptaraaj,1
rifah,1
saptaparna,1
rigved,1
rihaa,1
rihan,1
saptapadi,1
rihansi,1
rihansika,1
saptanshu,1
rihati,1
rijesha,1
saptarsi,1
ridhita,1
rianshi,1
ridhiman,1
riaz,1
richa,1
richard,1
richi,1
richika,1
richita,1
rickta,1
ricky,1
rictam,1
saptorshi,1
ridan,1
ridaya,1
ridayansh,1
saptmi,1
riddhima,1
riddhiman,1
riddhita,1
rideta,1
ridhan,1
ridhi,1
ridhima,1
saptashwa,1
ridhimaan,1
ranjana,1
samskara,1
sarika,1
sasthi,1
rai,1
sashreek,1
raienu,1
sashmita,1
sashikant,1
raifa,1
raika,1
sashikala,1
raima,1
raina,1
raiq,1
raisa,1
raita,1
raivata,1
sashika,1
raivath,1
sashi,1
sashanka,1
raj,1
sasha,1
raj kiran,1
raj kumar,1
raj kumari,1
raj mohan,1
sash,1
rahul ranjan,1
rahul,1
rahoul,1
rahan,1
sasmita,1
ragi,1
ragini,1
sasmit,1
ragov,1
ragvinder,1
raha,1
sasikaladhar,1
rahaam,1
rahal,1
rahamat,1
rahat,1
rahnuma,1
sasikala,1
raheel,1
sasidharan,1
rahghav,1
sasidhar,1
rahia,1
rahil,1
rahit,1
sashwat,1
rahman,1
sashti,1
raja lakshmi,1
rajabrata,1
rajadhiraj,1
sarvaani,1
sarveen,1
sarvani,1
rajaselvam,1
rajashree,1
rajasmita,1
sarvang,1
rajasree,1
rajasri,1
sarvajit,1
rajat,1
rajata,1
rajatabha,1
sarvesh,1
rajatanabhi,1
rajatshubhra,1
rajatsubhra,1
rajayana,1
rajballabh,1
rajdeep,1
rajdeepak,1
rajdip,1
rajdipa,1
sarupa,1
sarup,1
rajasekhar,1
rajasekaran,1
rajagopal,1
sarzina,1
rajak,1
rajaki,1
sasanka,1
rajakini,1
rajalakshmi,1
rajam,1
rajan,1
rajandeep,1
rajani,1
rajanikant,1
rajanikantaa,1
rajanti,1
sarvessh,1
rajanya,1
rajapandian,1
saryu,1
sarwesh,1
rajaraman,1
rajaramesh,1
rajarshee,1
rajarshi,1
sarwar,1
rajas,1
rajasekar,1
sassikumar,1
raghvi,1
rajdwip,1
raghuvir,1
rachayita,1
rachi,1
rachika,1
rachit,1
rachita,1
sathi,1
rachyati,1
radha krishna,1
satender,1
radhak,1
radhakanta,1
radhanath,1
radhani,1
radharani,1
radhatanaya,1
radhavallabh,1
radhe,1
radhe shyam,1
radhesh,1
sateesh,1
radheshyam,1
radhey,1
sateendra,1
radheya,1
radheyshyam,1
sathish,1
sathvik,1
rachayata,1
rabith,1
rabi,1
rabid,1
sati,1
rabilochan,1
rabin,1
rabina,1
rabinda,1
rabinesh,1
rabiram,1
rabiranjan,1
rabisankar,1
rabitta,1
sathviki,1
rabiul,1
rabri,1
rachaita,1
rachaitri,1
sathyagith,1
sathya raj,1
rachana,1
sathya,1
rachanaa,1
sathwik,1
rachanna,1
radhika,1
radhiyaa,1
radia,1
raghavendra,1
rafsan,1
rag,1
satabdi,1
saswato,1
ragav,1
saswatik,1
ragesh,1
raggi,1
saswati,1
raghavan,1
raghavender,1
ragheb,1
rafsa,1
raghu,1
raghu chandan,1
raghu kumara,1
raghubir,1
raghumoni,1
raghunadh,1
raghunandan,1
raghunath,1
saswat,1
sasvata,1
raghuveer,1
rafsal,1
rafiza,1
radib,1
rafel,1
satayu,1
radite,1
radiya,1
satatya,1
radwan,1
raeema,1
rafael,1
satarupa,1
sataparna,1
rafan,1
rafayet,1
rafi,1
rafisa,1
rafia,1
satapadma,1
rafid,1
rafija,1
rafin,1
satanand,1
satamanyu,1
satadev,1
satadeep,1
rafiq,1
rafiqul,1
rajdita,1
rajeeb,1
sarin,1
saroj,1
sarnalata,1
rambilas,1
sarnab,1
ramcharan,1
ramdulal,1
rameen,1
rameez,1
ramela,1
ramen,1
sarmistha,1
ramendra,1
ramesh,1
ramesha,1
rameshwar,1
rameshwari,1
rameshwer,1
rameshwori,1
rameswari,1
ramgopal,1
ramini,1
sarmista,1
sarmishtha,1
sarmin,1
ramisha,1
ramit,1
rambha,1
sarnali,1
rambati,1
ramakanta,1
ram sewak,1
saroda,1
ram-datt,1
rama krishna,1
ramaa,1
ramabhakta,1
ramadeep,1
ramadhuta,1
ramadut,1
ramaiah,1
ramakant,1
sarobindu,1
ramavatar,1
saroban,1
ramakanto,1
ramakrishna,1
raman,1
ramanath,1
ramanathan,1
sarnodeep,1
ramanuj,1
ramanuja,1
sarnima,1
ramappan,1
ramita,1
sarmila,1
ramkrishna,1
sarit,1
ranapratap,1
ranaraktim,1
ranarangini,1
ranbijay,1
ranbir,1
rancha,1
rand,1
randhir,1
randip,1
ranesh,1
rangalal,1
sarisha,1
ranajoy,1
sarish,1
rangandeep,1
rangarajan,1
rangila,1
rangini,1
rangith,1
rangoli,1
rani,1
ranik,1
sarina,1
ranita,1
riteshnu,1
sarita,1
ramnath,1
ramulu,1
sarman,1
ramprosad,1
ramra,1
ramratan,1
ramshankar,1
ramsundar,1
ramsunder,1
sarla,1
sarjul,1
ramswaroop,1
ramu,1
ramya,1
ranajit,1
rana,1
ranabir,1
ranadeep,1
ranadeva,1
ranadheer,1
ranadip,1
ranai,1
ranajay,1
ranajaya,1
saritah,1
ranajeet,1
ram pratap,1
ram prasad,1
rajeen,1
saroja,1
rajit,1
rajiv,1
rajjak,1
rajju,1
rajkanya,1
rajkumar,1
rajkumari,1
rajlakshmi,1
sarthik,1
rajmoni,1
rajnandini,1
rajneesh,1
sarthaki,1
rajnil,1
rajnish,1
rajnita,1
rajnnesh,1
rajnya,1
rajoaba,1
rajon,1
rajonyaa,1
rajoshi,1
rajoshma,1
rajoshree,1
rajoshri,1
rajina,1
rajibul,1
rajib,1
rajendran,1
rajeesh,1
rajeet,1
rajeev,1
saruar,1
sartik,1
sarthok,1
rajel,1
rajen,1
rajender,1
rajendra,1
rajendra mohan,1
rajes,1
rajia,1
rajesh,1
rajeshram,1
rajeshvari,1
rajeshwari,1
rajeswaran,1
rajeswari,1
rajgopal,1
rajgopalan,1
sarthk,1
sarthika,1
raji,1
rajosmita,1
rajosree,1
rajrishi,1
raktakarabi,1
rakibul,1
rakibur,1
raksha,1
sarojit,1
rakshan,1
rakshitha,1
raktajaba,1
raktakamal,1
raktakaml,1
sarojini,1
raktakanchan,1
raktakumud,1
rakhya,1
raktapadma,1
raktapala,1
raktapallav,1
raktatpal,1
sarojin,1
raktim,1
raktima,1
sarojbala,1
ralasian,1
ram,1
ram mohan,1
rakib,1
rakhsan,1
rajrita,1
rajun,1
sartha,1
rajrupa,1
rajsekar,1
rajsekhar,1
rajshekar,1
rajshekhar,1
rajsri,1
sarth,1
sartaj,1
rajul,1
sarrinah,1
rajvi,1
rakhi,1
saroswaty,1
rajvika,1
saroswati,1
saronika,1
rajyeshwar,1
saroma,1
rajyeswari,1
raka,1
sarojni,1
rakhal,1
rakhali,1
ranak,1
rittika,1
rith,1
sahira,1
sahensha,1
sahev,1
sahiba,1
sahid,1
sahida,1
sahidur,1
sahil,1
