,weapons and tanks,navy ships,air weapons,historic aircrafts
94,casspir[76],ins kondul ,drdo lakshya,
95,mahindra armored light specialist vehicle,ins kalpeni ,dornier do 228,
96,mahindra marksman,ins kabra ,helicopters,
97,mahindra rakshak,ins koswari ,hal dhruv,
98,tank destroyers,ins karuva ,hal dhruv,
99,namica,fleet ii,hal chetak,
100,9p148,ins tarmugli ,,
101,miscellaneous vehicles,ins tillanchang ,,
102,nbc reconnaissance vehicle,ins tihayu ,,
103,carrier mortar tracked,ins tarasa ,,
104,drdo armoured ambulance,ins bangaram ,,
105,force gurkha,ins bitra ,,
106,tata safari storme,ins batti malv ,,
107,tata xenon,ins baratang ,,
108,tata sumo,ins trinkat ,,
109,mahindra scorpio,23 in service,,
110,mahindra 550 dxb,6 in service,,
111,maruti gypsy,80 in service[citation needed],,
112,mitsubishi pajero,ins deepak ,,
113,arctic cat alterra tbx 700,ins shakti ,,
114,polaris sportsman 6x6 atv,ins aditya ,,
115,polaris ranger,ins jyoti ,,
116,polaris mrzr,ins ambika,,
117,drdo prahaar 510,ins dhruv ,,
118,tata lpta 713 tc,ins sagardhwani ,,
119,ashok leyland topchi,ins nirupak ,,
120,tata lpta 2038 hmv,ins investigator ,,
121,scania sba111,ins jamuna ,,
122,ashok leyland super stallion fat 6x6,ins sutlej ,,
123,ashok leyland super stallion,ins darshak ,,
124,beml tatra,ins sarvekshak ,,
125,wzt-3m,ins makar ,,
126,wzt-2,ins andamans,,
127,armoured engineer reconnaissance vehicle,ins nicobar,,
128,avtlr,ins nireekshak ,,
129,hydrema,ins astradharani ,,
130,bridge laying tank t-72,dredger 1,,
131,pontoonova mostova subravia ,dsar - 1,,
132,arjun blt,dsar - 2,,
133,kartik blt,ins tir ,,
134,drdo sarvatra,ins tarangini ,,
135,cl 70 mat ground surfacing,ins sudarshini ,,
136,drdo daksh,ins varuna,,
137,smerch 9k58 mbrl,insv mhadei ,,
138,pinaka mbrl,insv tarini,,
139,bm-21,ins gaj,,
140,self-propelled artillery,ins himmat,,
141,k9 vajra-t,ins dhiraj,,
142,towed artillery,ins sahas,,
143,dhanush ,ins veeran,,
144,bae systems m777,ins madan singh,,
145,haubits fh77a/b,ins shambhu singh,,
146,m-46 sharang,ins bhim,,
147,ofb indian field gun mk 1/2/3,ins balshil,,
148,static artillery,ins ajral,,
149,vijayanta mbt,ins nakul,,
150,t-55 mbt,ins arjun,,
151,future procurements or currently under army trials,ins b. c. dutt,,
152,drdo advanced towed artillery gun system ,ins tarafdar,,
153,prithvi defence vehicle  mk-ii,ins arga,,
154,anti-ballistic missile systems,ins bali,,
155,prithvi defence vehicle ,ins anup,,
156,advanced air defence ,ins balram,,
157,prithvi air defence ,ins bajrang,,
158,air defence systems,ins bahadur,,
159,s-400 triumph,ins anand,,
160,barak-8 ,ins balwan,,
161,akash,ins sahayak,,
162,spyder,ins buland,,
163,qrsam,ins sarthi,,
164,kub ,ins manoram,,
165,9k33 osa ,ins vihar,,
166,9k35 strela-10 ,ins ankola,,
167,man-portable air-defense systems,ins neelam,,
168,fim-92 stinger,ins mohini,,
169,9k38 igla 9k338 igla-s,ins manohar,,
170,air defence - anti-aircraft gun systems,ins modak,,
171,zsu-23-4m shilka,ins mangal,,
172,2k22 tunguska[152],ins madhur,,
173,l-70 upgraded,ins manorama,,
174,l-70,ins manjula,,
175,sudarshan ciws,ins ???,,
176,bofors l60 iwm,ins ???,,
177,zu-23-2,ins ???,,
178,spikespike lr-ii[159],ins ???,,
179,9m113 konkurs - m  ,ins purak,,
180,milan 2t,ins puran,,
181,9m119 svir ,ins poshak,,
182,9m133 kornet ,ins pamba,,
183,9m120 ataka-v ,ins pulakesin-1,,
184,9k114 shturm ,ins ambuda,,
185,dhruvastra,ins sb-ii,,
186,mpatgm,ins sb-ii,,
187,possible future procurements or currently under army trials,ins sb-v,,
188,samho ,ins sb-vii,,
189,brahmos,floating dock ,,
190,nirbhay,floating dock ,,
191,shaurya,,,
192,prithvi-ii,,,
193,agni-i,,,
194,agni-ii,,,
195,agni-iii,,,
196,agni-iv,,,
197,agni-v,,,
198,hal light combat helicopter,,,
199,boeing ah-64 apache,,,
200,hal rudra,,,
201,hal dhruv,,,
202,hal light utility helicopter,,,
203,hal cheetah,,,
204,hal chetak,,,
205,tapas-bh-201,,,
206,iai heron tp,,,
207,iai heron,,,
208,iai searcher,,,
209,ideaforge switch,,,
210,raphe mphibr mr-20 [188],,,
211,raphe mphibr mr-10 [188],,,
212,sky striker,,,
213,firefly,,,
214,warmate,,,
215,swarm drone,,,
216,possible future procurements or currently under army trials,,,
217,drdo rustom,,,
218,gsl fast patrol boat,,,
219,flat-bottomed troop boat,,,
220,tempest 35 swat patrol craft,,,
221,el/m-2090,,,
222,el/m-2080 green pine,,,
223,swordfish long range tracking radar,,,
224,drdo air defence tactical control radar ,,,
225,swathi weapon locating radar,,,
226,an/tpq-37 firefinder,,,
227,ashwini,,,
228,flycatcher,,,
229,bharani,,,
230,rajendra,,,
231,indra-i/ii,,,
232,rohini,,,
233,bel battle field surveillance radar,,,
