,defence secretary,chairman chief of defence staff,security advisor,chief army staff,chief naval staff,chief air staff,integrated defence staff,general medical service,serving admirals
21,naresh chandra,air chief marshal idris hasan latif pvsm ,,"general deepak kapoor, pvsm, avsm, sm, vsm, adc ","vice admiral robin k. dhowan pvsm, avsm, ysm, adc  acting","air chief marshal birender singh dhanoa pvsm, avsm, ysm, vm, adc ",,"lieutenant general h. c. puri avsm, vsm, frcs, frcse",sreekumar nair
22,narinder nath vohra,"admiral ronald lynsdale pereira pvsm, avsm ",,"general vijay kumar singh, pvsm, avsm, ysm, adc ","admiral robin k. dhowan pvsm, avsm, ysm, adc ","air chief marshal rakesh kumar singh bhadauria pvsm, avsm, vm, adc ",,lieutenant general jagdish narayan pvsm,krishna swaminathan
23,k. a. nambiar,general kotikalapudi venkata krishna rao pvsm ,,"general bikram singh pvsm, uysm, avsm, sm, vsm, adc ","admiral sunil lanba pvsm, avsm, adc ","air chief marshal vivek ram chaudhari pvsm, avsm, vm, adc ",,lieutenant general k. d. kapur,sanjay vatsayan
24,t. k. banerjee,"air chief marshal dilbagh singh pvsm, avsm, vm ",,"general dalbir singh suhag, pvsm, uysm, avsm, vsm, adc ","admiral karambir singh pvsm, avsm, adc  [15]",,,lieutenant general jaswant singh paul,j. singh
25,ajit kumar,"admiral oscar stanley dawson pvsm, avsm ",,"general bipin rawat, pvsm, uysm, avsm, ysm, sm, vsm, adc ","admiral r. hari kumar pvsm, avsm, vsm, adc  [3]",,,lieutenant general v. k. tewari,ajay kochhar
26,t. r. prasad,"general arun shridhar vaidya pvsm, mvc & bar, avsm ",,"general manoj mukund naravane, pvsm, avsm, sm, vsm, adc ",,,,lieutenant general n. c. sanyal,puneet kumar bahl
27,yogendra narain,"admiral radhakrishna hariram tahiliani pvsm, avsm ",,"general  manoj pande, pvsm, avsm, vsm, adc ",,,,surgeon vice admiral inderjit singh,rajesh dhankhar
28,subir dutta,"air chief marshal denis la fontaine pvsm, avsm, vsm ",,,,,,lieutenant general d. raghunath avsm,sanjay datt
29,ajay prasad,"admiral jayant ganpat nadkarni pvsm, avsm, nm, vsm ",,,,,,lieutenant general ramanand jayaswal avsm,sameer saxena
30,ajai vikram singh,"air chief marshal surinder mehra pvsm, avsm, vm ",,,,,,"lieutenant general r. k. jetley pvsm, vsm",sanjay bhalla
31,shekhar dutt,"general sunith francis rodrigues pvsm, vsm ",,,,,,"lieutenant general bijoy nandan shahi pvsm, avsm, vsm",sandeep mehta
32,vijay singh,"admiral laxminarayan ramdas pvsm, avsm, vrc, vsm ",,,,,,"lieutenant general j. r. bhardwaj pvsm, avsm, vsm",manish chadha
33,pradeep kumar,"general bipin chandra joshi pvsm, avsm ",,,,,,surgeon vice-admiral vijai kumar singh,vikram menon
34,shashi kant sharma,"air chief marshal swaroop krishna kaul pvsm, mvc ",,,,,,surgeon vice-admiral yogendra singh vsm,atul anand
